Channel,Date,Start time,Film Code,Break Code,Advertiser,Brand,Agency,Holding Company,BARB Prog Before,BARB Prog After,Sales House,Major category,Mid category,Minor category,All PIB rel,All PIB pos,Log Station (2010-),Impacts A4+
ITV1 HD,26/03/2024,10:56:23,AMVMWGX060020,CB,Mars uk,Mars galaxy,Essencemediacom hold,Mars uk,THIS MORNING,THIS MORNING,ITV SALES,Food,Confectionery & snacks,Chocolate - large bars,Last,7,ITV1 HD London Carlton,58
ITV1 HD,26/03/2024,11:07:00,PCHPPGP003010,CB,Consorzio tutela gra,Consorzio grana padano cheese,Consorzio per la tut,Consorzio per la tut,THIS MORNING,THIS MORNING,ITV SALES,Food,Dairy,Cheese - continental,First,1,ITV1 HD London Carlton,72
ITV1 HD,26/03/2024,11:07:10,VCCVMDR130020,CB,Virgin media,Virgin media broadband,Manning gottlieb omd,Virgin group,THIS MORNING,THIS MORNING,ITV SALES,Telecoms,Fixed line services,Home broadband,2nd,2,ITV1 HD London Carlton,72
ITV1 HD,26/03/2024,11:07:30,DAAGOSH068060,CB,Great ormond street,Great ormond street hospital,Medialab group limit,Great ormond street,THIS MORNING,THIS MORNING,ITV SALES,Government social political organisation,Charities,Children charities,Last,3,ITV1 HD London Carlton,72
ITV1 HD,26/03/2024,11:23:15,BBHTCPT534020,CB,Tesco stores,Tesco easter,Essencemediacom hold,Tesco,THIS MORNING,THIS MORNING,ITV SALES,Food,Food brand building,Food - multi product,First,1,ITV1 HD London Carlton,74
ITV1 HD,26/03/2024,11:23:35,TAGDDGB048020,CB,Unilever uk home & p,Dove anti perspirant deodorant,Mindshare media uk l,Unilever,THIS MORNING,THIS MORNING,ITV SALES,Cosmetics & personal care,Anti perspirant & deodorant,Anti perspirant & deodorant - womens,2nd,2,ITV1 HD London Carlton,74
ITV1 HD,26/03/2024,11:23:55,WPPNINJ033030,CB,Itv,Itv ninja warrior uk adventure park,Itv network limited,Itv,THIS MORNING,THIS MORNING,ITV SALES,Entertainment & leisure,Leisure activities,Gymnasiums & leisure centres,3rd,3,ITV1 HD London Carlton,74
ITV1 HD,26/03/2024,11:24:25,TJUIDHS092030,CB,Media 10,Media 10 ideal home show,Media 10 limited,Media 10,THIS MORNING,THIS MORNING,ITV SALES,Entertainment & leisure,Leisure activities,Exhibitions,Middle,4,ITV1 HD London Carlton,74
ITV1 HD,26/03/2024,11:24:55,MCENEOM286060,CB,Neom,Neom city urban living,Media frame dmcc,Neom,THIS MORNING,THIS MORNING,ITV SALES,Travel & transport,Holidays/overseas,Overseas resorts,3rd last,5,ITV1 HD London Carlton,74
ITV1 HD,26/03/2024,11:25:55,VCCCAEA242020,CB,Mondelez uk,Cadbury easter egg hunt,Spark foundry,Mondelez uk,THIS MORNING,THIS MORNING,ITV SALES,Food,Confectionery & snacks,Chocolate - multi product,2nd last,6,ITV1 HD London Carlton,86
ITV1 HD,26/03/2024,11:26:15,TTBFMTB005030,CB,Findmypast,Findmypast.co.uk,Smithfield agency,Findmypast,THIS MORNING,THIS MORNING,ITV SALES,Computers,Computing services,Internet services including isps,Last,7,ITV1 HD London Carlton,83
ITV1 HD,26/03/2024,11:38:42,OGYLIND003020,CB,Lindt & sprungli uk,Lindt choco wafer,Spark foundry,Lindt & sprungli uk,THIS MORNING,THIS MORNING,ITV SALES,Food,Confectionery & snacks,Biscuits,First,1,ITV1 HD London Carlton,75
ITV1 HD,26/03/2024,11:39:02,PPLPPLH457060,CB,Postcode lottery,Postcode lottery,The7stars uk limited,Postcode lottery,THIS MORNING,THIS MORNING,ITV SALES,Entertainment & leisure,Gambling,Lottery,2nd,2,ITV1 HD London Carlton,60
ITV1 HD,26/03/2024,11:40:02,ACBLIUK090020,CB,Lidl uk gmbh,Lidl easter,Omd group limited,Lidl uk gmbh,THIS MORNING,THIS MORNING,ITV SALES,Food,Food brand building,Food & drink - multi product,3rd,3,ITV1 HD London Carlton,56
ITV1 HD,26/03/2024,11:40:22,LIPWARB003030,CB,Warburtons,Warburtons bread,Mindshare media uk l,Warburtons,THIS MORNING,THIS MORNING,ITV SALES,Food,Bakery,Bread,Middle,4,ITV1 HD London Carlton,56
ITV1 HD,26/03/2024,11:40:52,SRQBSHS001030,CB,Bissell homecare ove,Bissell hydrosteam vacuum cleaners,Smart response media,Bissell homecare ove,THIS MORNING,THIS MORNING,ITV SALES,Electronics, household appliances & tech",Small appliances - home,Small appliances home - multi products,Middle,5,ITV1 HD London Carlton,56
ITV1 HD,26/03/2024,11:41:22,HKXGADA032020,CB,Reckitt benckiser,Gaviscon double action,Zenith uk media limi,Reckitt benckiser,THIS MORNING,THIS MORNING,ITV SALES,Health & wellbeing,Medication,Indigestion remedies,3rd last,6,ITV1 HD London Carlton,56
ITV1 HD,26/03/2024,11:41:42,IIBORKG015010,CB,Kerrygold company,Kerrygold softer butter,Yonder media ltd,Adams foods,THIS MORNING,THIS MORNING,ITV SALES,Food,Dairy,Butter,2nd last,7,ITV1 HD London Carlton,56
ITV1 HD,26/03/2024,11:41:52,MCEPRKI013020,CB,Premier foods,Mr kipling cakes,Dentsu uk limited,Premier foods,THIS MORNING,THIS MORNING,ITV SALES,Food,Bakery,Cakes & treats,Last,8,ITV1 HD London Carlton,56
ITV1 HD,26/03/2024,11:54:04,BURTLDT151030,CB,Lindt & sprungli uk,Lindt golden bunny,Spark foundry,Lindt & sprungli uk,THIS MORNING,THIS MORNING,ITV SALES,Food,Confectionery & snacks,Chocolate - countlines,First,1,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,11:54:34,BLBFURN201030,CB,Furniture village,Furniture village,Tmwi limited,Cadagan estates,THIS MORNING,THIS MORNING,ITV SALES,Retail,Household,Furniture & furnishings,2nd,2,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,11:55:04,MLLDHSC299030,CB,Ccs,Ccs phe stop smoking,Manning gottlieb omd,Ccs,THIS MORNING,THIS MORNING,ITV SALES,Business & industrial,Health & social,Doctors/hospitals,3rd,3,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,11:55:34,ITCSVOD019030,CB,Itv,Itvx video streaming premium,Itv network limited,Itv,THIS MORNING,THIS MORNING,ITV SALES,Entertainment & leisure,Home entertainment,Film/programme downloads/streaming,Middle,4,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,11:56:04,ATGBKCL135030,CB,Actegy,Actegy revitive circulation booster,Medialab group limit,Actegy,THIS MORNING,THIS MORNING,ITV SALES,Health & wellbeing,Health & fitness,Health & fitness appliances,3rd last,5,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,11:56:34,LYGCPBR165030,CB,Co operative group,Co op funeral care,Dentsu manchester li,Co operative group,THIS MORNING,THIS MORNING,ITV SALES,Finance,General insurance,Funeral expenses insurance,2nd last,6,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,11:57:04,MCZVAXV090030,CB,Vax,Vax cordless blade vacuum cleaner,Mccann erickson cent,Cardinal internation,THIS MORNING,THIS MORNING,ITV SALES,Electronics, household appliances & tech",Small appliances - home,Cordless vacuum cleaners,Last,7,ITV1 HD London Carlton,45
ITV1 HD,26/03/2024,12:11:26,EGWVXMO103030,CB,Peugeot motor co,Vauxhall mokka electric,Starcom worldwide li,Peugeot motor co,THIS MORNING,THIS MORNING,ITV SALES,Automotive,Automotive - cars,C - lower medium,First,1,ITV1 HD London Carlton,41
